order_id,product,quantity,total_price,order_date
1,Tablet,1,925,2025-07-29
2,Laptop,3,798,2025-11-22
3,Phone,1,257,2025-08-10
4,Headphones,1,552,2025-03-06
5,Headphones,1,95,2025-10-20
6,Monitor,3,924,2025-07-31
7,Laptop,4,3444,2025-12-09
8,Monitor,5,2705,2025-01-07
9,Laptop,2,192,2025-12-22
10,Tablet,5,1855,2025-06-01
11,Phone,2,1690,2025-12-21
12,Phone,4,428,2025-05-05
13,Phone,4,736,2025-05-04
14,Laptop,4,3676,2025-08-06
15,Monitor,3,1680,2025-10-17
16,Headphones,5,4455,2025-04-25
17,Monitor,1,450,2025-11-24
18,Monitor,1,676,2025-10-24
19,Laptop,2,1886,2025-04-19
20,Headphones,4,3136,2025-04-30
